artist,origin,school,art_movement,FirstYear,LastYear,Places
Andries Jacobsz. Stock,West,,,,,
Joost Jansz. Bilhamer,West,,,,,
Manfield,West,,,,,
De erven de weduwe J. Ratelband en J. Bouwer,West,,,,,
Jean Marot (I),West,,,,,
Paul Androuet Ducerceau,West,,,,,
Jean Lepautre,West,,,,,
J. Mijling,West,,,,,
Antoine Trouvain,West,,,,,
Theodoor Brouwers,West,,,,,
Sieuwert van der Meulen,West,,,,,
Pieter Sluyter,West,,,,,
Pieter Jooste,West,,,,,
Andreas Schelfhout,West,,,,,
Monogrammist CL,West,,,,,
Abraham Allard,West,,,,,
G. Meyer (fotograaf),West,,,,,
Richard Allen & Son,West,,,,,
Nicolas de Fer,West,,,,,
Harmanus van Loon,West,,,,,
Monogrammist JS (Frankrijk),West,,,,,
Maison Falize,West,,,,,
Christoph Jamnitzer,West,,,,,
Jacques Hurtu,West,,,,,
Claude Simonin,West,,,,,
Giampietrino Birago,West,,,,,
Antoine Pierretz (le jeune),West,,,,,
Daniel Meijer,West,,,,,
Balthazar Moncornet,West,,,,,
Louis Cossin,West,,,,,
Christiaan Benjamin Nieuwenhuis,West,,,,,
Christoffel van Sichem (II),West,,,,,
Louis-Emile Durandelle,West,,,,,
François de Poilly (le vieux),West,,,,,
W.F. Clark,West,,,,,
Francesco Fanelli,West,,,,,
Bernard Salomon,West,,,,,
Charlotte M. Endicott,West,,,,,
Arent van Bolten,West,,,,,
Meynert Jelissen,West,,,,,
Gérard Jean Baptiste Scotin (I),West,,,,,
Jacob Evert Wesenhagen,West,,,,,
Hendrik Dooyer,West,,,,,
Marguerin Daigremont,West,,,,,
Moellaert,West,,,,,
Jacques Bailly (I),West,,,,,
Philippe Cordier Daubigny,West,,,,,
Wendel Dietterlin (I),West,,,,,
Esaias van Hulsen,West,,,,,
Adolf Carel Nunnink,West,,,,,
Daniel de Lafeuille,West,,,,,
Jan Willem Caspari,West,,,,,
Thomas Rowlandson,West,,,,,
Andreas Reinhard (II),West,,,,,
Hilmar Johannes Backer,West,,,,,
Jonas Bentzen,West,,,,,
Gonsales Appelmans,West,,,,,
Leonard Schenk,West,,,,,
François Nicolas Barthélemy Dequevauviller,West,,,,,
Nicolas Cochin,West,,,,,
Jean Baptiste Morret,West,,,,,
Daniel Hopfer (I),West,,,,,
Philipp Uffenbach,West,,,,,
Dominique Barrière,West,,,,,
Philippus Endlich,West,,,,,
Franz Ertinger,West,,,,,
Groux,West,,,,,
Henri Le Roy,West,,,,,
J.G. Loten,West,,,,,
Pieter Bast,West,,,,,
Bury-Lefevre,West,,,,,
Antonio Beato,West,,,,,
Tresling & Comp.,West,,,,,
H. Gillbank,West,,,,,
B. van der Heide,West,,,,,
Jacob Hohmann,West,,,,,
G. Hoogwinkel Jr,West,,,,,
G. Hoogwinkel,West,,,,,
C. Janssen & E. Radermacher,West,,,,,
Christian Theodor Kirch,West,,,,,
J. v.d. Graft,West,,,,,
William Hogarth,West,,,,,
Giovanni Marco Pitteri,West,,,,,
Kilian Ponheimer (I),West,,,,,
Paul Birckenhultz,West,,,,,
Antoni van Leest,West,,,,,
Paul Flindt (de Jonge),West,,,,,
"Shigenobu (II) , Yanagawa",West,,,,,
Samuel Du Ry de Champdoré,West,,,,,
Joan Lobbrechts,West,,,,,
Henrik Jordis,West,,,,,
Nicolas Suly,West,,,,,
Jacques de Roubay,West,,,,,
Gesina ter Borch,West,,,,,
Gochôtei Sadamasu,West,,,,,
Utagawa Yoshiume,West,,,,,
Daniël Stopendaal,West,,,,,
Moses ter Borch,West,,,,,
Jacobus van Egmont,West,,,,,
Anna Cornelia Moda,West,,,,,
Staten van Holland en West-Friesland,West,,,,,
Stad Leiden,West,,,,,
Andreas Bissel,West,,,,,
Monogrammist MEG,West,,,,,
Friedrich Jügel,West,,,,,
Carl Friedrich Thiele,West,,,,,
Cornelis Schellinger,West,,,,,
Harmen ter Borch,West,,,,,
Joost van Sassen,West,,,,,
Gerard ter Borch (I),West,,,,,
Pieter Mortier (I),West,,,,,
Franz Hegi,West,,,,,
Antonio Giuseppe Barbazza,West,,,,,
Jacob van Campen,West,,,,,
P.J. Bertren,West,,,,,
Jacques Marchand,West,,,,,
"Sadamasu (II) , Utagawa",West,,,,,
Friedrich Rauscher,West,,,,,
J.L.T. Huijsen,West,,,,,
Jacques Chrispijn,West,,,,,
Sebastiano de' Valentinis,West,,,,,
Pieter Hendrik Dronsberg,West,,,,,
Hendrik G. van Raan,West,,,,,
Maria Margaretha la Fargue,West,,,,,
Franciscus Sansom,West,,,,,
Shunman,West,,,,,
Jan van de Velde,West,,,,,
Christiaan Le Blon,West,,,,,
Monogrammist SB (16e eeuw),West,,,,,
Leonaert Bramer,West,,,,,
Georg Christoph Eimart (jr.),West,,,,,
Gabriel Huquier,West,,,,,
Johan van der Spruyt,West,,,,,
Etienne Claude Voysard,West,,,,,
Hendrik Linsen,West,,,,,
Jean Baptiste Monnoyer,West,,,,,
Lewis Wickes Hine,West,,,,,
Hieronymus Lapis,West,,,,,
Huib van Hove Bz,West,,,,,
Jan Mathysz,West,,,,,
Meester van de Paardenhoofden,West,,,,,
Jacobus Wijsman,West,,,,,
Ph.R. Stadlmair,West,,,,,
Jan van Jagen,West,,,,,
Hans Liefrinck (I),West,,,,,
Carel Frederik Bendorp (II),West,,,,,
Edouard Taurel,West,,,,,
Henry Pauw van Wieldrecht,West,,,,,
Christoffel van Sichem (I),West,,,,,
Francoys Dancx,West,,,,,
Giovanni Batista Mazza,West,,,,,
Daniel Nyblin,West,,,,,
Gottfried Schadow,West,,,,,
F. Ghit,West,,,,,
A Sachtler,West,,,,,
Jules Valecke,West,,,,,
Schorteldoek,West,,,,,
A. van Groeneveldt,West,,,,,
L Stüs,West,,,,,
Pieter Visser,West,,,,,
Giovanni Guerra,West,,,,,
A.D. Pijzel,West,,,,,
Waldemar Titzenthaler,West,,,,,
Henricus Mouthaen,West,,,,,
Engelsch Photographisch Etablissement,West,,,,,
Rudi Augustinus,West,,,,,
Utagawa Toyohiro,West,,,,,
Eugène Piot,West,,,,,
Zacharias Chatelain (II),West,,,,,
Jakob von Sandrart,West,,,,,
Pieter van Schuppen,West,,,,,
Johannes van der Spyck,West,,,,,
Ulpianus Sprongh,West,,,,,
Philippe Lambert Joseph Spruyt,West,,,,,
Adriaen van Stalbemt,West,,,,,
Jan van Stalburch,West,,,,,
Théodore Wynant Stallenbergh,West,,,,,
Hendrik Jansz. Verstralen,West,,,,,
Elchanon Verveer,West,,,,,
Samuel Verveer,West,,,,,
Abraham Vinkeles,West,,,,,
Crispijn van den Queborn,West,,,,,
Petrus Rucholle,West,,,,,
Charles Onghena,West,,,,,
Hendrik Post,West,,,,,
Hendrik Cornelisz. Pot,West,,,,,
Jan Pottey,West,,,,,
Claes Pouwelszoon,West,,,,,
William Leckie,West,,,,,
Lucas Kilian,West,,,,,
Maarten van den Heuvel,West,,,,,
Johanna Sibilla Küsel,West,,,,,
Antoine Benoist,West,,,,,
Johann Christian Reinhart,West,,,,,
G. Dangereux,West,,,,,
James Valentine,West,,,,,
Antoine Sevruguin,West,,,,,
Hendrik Dunlop,West,,,,,
Cornelis Dircksz. Boissens,West,,,,,
Boston Tent Gallery,West,,,,,
Johannes Jacobsz Folkema,West,,,,,
James Watson,West,,,,,
Nicolas Perelle,West,,,,,
Bruno van Straaten (I),West,,,,,
Joseph Marianus,West,,,,,
Jeremias Snoek,West,,,,,
Martinus van Kolm,West,,,,,
Giovanni David,West,,,,,
Adam von Bartsch,West,,,,,
James Gillray,West,,,,,
Gebroeders Delboy,West,,,,,
S. Knight,West,,,,,
Jacob Lutkeman,West,,,,,
Jan de Visscher,West,,,,,
Robert van Voerst,West,,,,,
Kornelis Jzn de Wijs,West,,,,,
Abraham Jacobsz. Hulk,West,,,,,
Nicolaes Weydtmans,West,,,,,
Pieter Yver,West,,,,,
Abraham Lion Zeelander,West,,,,,
Paul de Zetter,West,,,,,
Antoni Zürcher,West,,,,,
Frederik Willem Zürcher,West,,,,,
Johannes Cornelis Zürcher,West,,,,,
Paul Adolphe Rajon,West,,,,,
Johannes Jacobus Bertelman,West,,,,,
Johannes Warnardus Bilders,West,,,,,
Jan van Essen,West,,,,,
Edouard Hamman,West,,,,,
Monogrammist HVD,West,,,,,
Jean Barbet,West,,,,,
Eugene Groeneveld,West,,,,,
Kaiser,West,,,,,
Adolphe (fotograaf),West,,,,,
Jeremias Wolf,West,,,,,
Jean Baptiste August Kessler,West,,,,,
Nicolas Robert,West,,,,,
Antoine Jacquard,West,,,,,
Georges Tournier,West,,,,,
René Lochon,West,,,,,
Charles Errard (fils),West,,,,,
François Langlois,West,,,,,
Broer Jansz (Amsterdam),West,,,,,
Fidele Fischetti,West,,,,,
Johannes Rutten,West,,,,,
Jan Peeter Verdussen,West,,,,,
Cor van Teeseling,West,,,,,
Sillet & Ramm Warner,West,,,,,
C. Tomlins,West,,,,,
Karyôsai Hokuga,West,,,,,
William 2nd Earl of Craven,West,,,,,
Sir Robert Seppings,West,,,,,
Pieter Schuijt (Jr),West,,,,,
W. & T. Gilbert,West,,,,,
William B. Post,West,,,,,
Adriaen van Diest,West,,,,,
Abd al-Ghaffar,West,,,,,
Robert de Baudous,West,,,,,
Johannes Schouten,West,,,,,
Cornelis Elandts,West,,,,,
Hendrik Numan,West,,,,,
Isaak Tirion,West,,,,,
Bonfils,West,,,,,
Hishikawa Moroshige,West,,,,,
Luigi Ademollo,West,,,,,
Carl Rensing,West,,,,,
M.L Winter,West,,,,,
Ghémar Freres,West,,,,,
Franz Wilhelm Deutmann,West,,,,,
A.C. Weyer,West,,,,,
C. van Waard,West,,,,,
Alfredo Noack,West,,,,,
Edizioni Brogi,West,,,,,
Jippensha Ikku,West,,,,,
Schröder & Co,West,,,,,
Françoise Bouzonnet,West,,,,,
Michel Dorigny,West,,,,,
Robert Jacob Gordon,West,,,,,
John Webber,West,,,,,
Dietrich Krüger,West,,,,,
J.F. Gout,West,,,,,
Luigi Sabatelli (I),West,,,,,
James Higson,West,,,,,
Giuseppe Maria Mitelli,West,,,,,
Georg Conrad Bodenehr,West,,,,,
Lodovico Mattioli,West,,,,,
Stephenson,West,,,,,
Willem Hondius,West,,,,,
Johann August Corvinus,West,,,,,
Ludolph Breeckevelt,West,,,,,
Caspar van Baerle,West,,,,,
L. Heldring,West,,,,,
Volkert van der Plaats,West,,,,,
Jan de Mel,West,,,,,
Atelier Kurkdjian,West,,,,,
Joseph Mendes da Costa (1863-1939),West,,,,,
Van Wielik BV,West,,,,,
Koninklijke Utrechtsche Fabriek van Zilverwerken van C.J. Begeer,West,,,,,
Lucie Sandel,West,,,,,
Hendrik Tavenier,West,,,,,
Johannes Cornelis Wienecke,West,,,,,
Pieter Perret,West,,,,,
Hishikawa Sôri,West,,,,,
Bruno Ninaber van Eyben,West,,,,,
Jacobus Anthonie Meessen,West,,,,,
Pieter de Monchy,West,,,,,
Yoshida Hiroshi,West,,,,,
Paolo de Matteis,West,,,,,
Rijksrecherche,West,,,,,
Monogrammist DR (prentmaker),West,,,,,
Valentijn Caspar Bömcke,West,,,,,
Daniël Vrijdag,West,,,,,
P. Blommers (Steendrukkerij van),West,,,,,
Jan van der Veen (prentmaker),West,,,,,
Jean Beuf,West,,,,,
J. Baugin,West,,,,,
Lucas Vorsterman (II),West,,,,,
Michiel Comans (II),West,,,,,
Jean Desaulx,West,,,,,
Eberhard Cornelis Rahms,West,,,,,
Hendrik Dirk Kruseman van Elten,West,,,,,
Heinrich Sintzenich,West,,,,,
Nicasius Rousseel,West,,,,,
Rienk Jelgerhuis,West,,,,,
Pieter Serwouters,West,,,,,
Jacobus van Tertoolen en Comp.,West,,,,,
Daniel Joannes Langeweg,West,,,,,
Martin Engelbrecht,West,,,,,
Matthäus Merian,West,,,,,
Jan Vrolijk,West,,,,,
Jan Baptist de Wael,West,,,,,
Aert van Waes,West,,,,,
H. I. Wagner,West,,,,,
F.J. Walther,West,,,,,
De Staat der Nederlanden,West,,,,,
Corretje Smulders-Mali,West,,,,,
Huib Luns,West,,,,,
Johannes W. Merkelbach & Co,West,,,,,
August Frederik Willem Vogt,West,,,,,
Carlton H. Graves,West,,,,,
John F. Jarvis,West,,,,,
Charles Bierstadt,West,,,,,
William Herman Rau,West,,,,,
Neue Photographische Gesellschaft,West,,,,,
Bruno Hentschel,West,,,,,
Sophus Williams & E. Linde & Co.,West,,,,,
Tamotsu Enami,West,,,,,
H.C. White and Co.,West,,,,,
Underwood and Underwood,West,,,,,
H. Selle & E. Linde & Co,West,,,,,
E. Linde,West,,,,,
Bert Elias Underwood,West,,,,,
E. Schüler & Sophus Williams,West,,,,,
Carl Friedrich Würthle,West,,,,,
Albertus Frese (de Jonge),West,,,,,
Johann Thomas Hauer,West,,,,,
Monogrammist GB (Frankrijk),West,,,,,
Ministerie van Koloniën,West,,,,,
István Páldi Székely,West,,,,,
Noach van der Meer (I),West,,,,,
Jules Raudnitz,West,,,,,
Antonio Pazzi,West,,,,,
Jan Gerritsz Swelinck,West,,,,,
Johannes Swertner,West,,,,,
Cornely Joannis,West,,,,,
Alexander Voet (I),West,,,,,
Pieter Vogelaer,West,,,,,
Peter van Voorde,West,,,,,
Anthony de Vos,West,,,,,
Carel Vosmaer,West,,,,,
Johannes Vorsterman,West,,,,,
Willem Houtgraaff,West,,,,,
Adrien Manglard,West,,,,,
Baccarat,West,,,,,
J. en L. Lobmeyr,West,,,,,
Legras & Cie.,West,,,,,
E. Maunoury,West,,,,,
Louis-Désiré Blanquart-Evrard,West,,,,,
Petrus Regout & Co.,West,,,,,
Giovanni Battista Franco,West,,,,,
Gijsbrecht Ernst,West,,,,,
Monogrammist CI (17e eeuw),West,,,,,
Simon van de Passe,West,,,,,
Monogrammist ESB (tekenaar),West,,,,,
Ernest Alfred Hardouin,West,,,,,
Henricus Meurs,West,,,,,
Theodorus Gerardus Bentvelt,West,,,,,
Catharina Questiers,West,,,,,
Servatius Raeven,West,,,,,
Frans Swidde,West,,,,,
François Carlebur,West,,,,,
Ishikawa Utayama,West,,,,,
Johan Werner Gericke,West,,,,,
Wijnand Esser,West,,,,,
Cornelis Gerritsz Decker,West,,,,,
Pierre Landry,West,,,,,
Cornelis Coster,West,,,,,
Domenico Qualglio,West,,,,,
Nicolaas van der Worm,West,,,,,
Magdalena van de Passe,West,,,,,
Ph. Dunst,West,,,,,
Ed Gerdes,West,,,,,
Franciscus van Schooten (I),West,,,,,
Leopold Löwenstam,West,,,,,
Jacques Desbordes (I),West,,,,,
A.W. Möller,West,,,,,
Andries Pauli,West,,,,,
Kassian Céphas,West,,,,,
O. Kurkdjian,West,,,,,
Sophus Williams,West,,,,,
Andrea de Bernardis,West,,,,,
W. Grein-Vonk,West,,,,,
Leonard Jozef Ferrier,West,,,,,
Joseph Gleich,West,,,,,
Pieter Verbiest (II),West,,,,,
Jan Matthias Cok,West,,,,,
Franz Cleyn,West,,,,,
Johann Jakob Kleinschmidt,West,,,,,
Arnold Bloem,West,,,,,
Joannes Naeranus,West,,,,,
Herman Padtbrugge,West,,,,,
J. Wijnman,West,,,,,
L.R. Werner,West,,,,,
Lambertus Martinus Delboy,West,,,,,
Willem Steelink (I),West,,,,,
Johannes Josephus Aarts,West,,,,,
Johan Braakensiek,West,,,,,
Jan Jacob Goteling Vinnis,West,,,,,
Léon Gimpel,West,,,,,
Monogrammist DB (etser 18de eeuw),West,,,,,
W.W. Schroeder,West,,,,,
Soublette et Fils,West,,,,,
Andries Augustus Boom,West,,,,,
Thomas Worlidge,West,,,,,
Monogrammist CG (Duitsland),West,,,,,
Monogrammist HE,West,,,,,
Monogrammist HO,West,,,,,
Monogrammist LB (Duitsland),West,,,,,
Lamberecht Causé,West,,,,,
Giacinto Gimignani,West,,,,,
Yzerhouwer,West,,,,,
Jacob baron van Slingelandt,West,,,,,
Antonie Wierix (II),West,,,,,
Ronald van Tienhoven,West,,,,,
American Photograph Company,West,,,,,
Luigi Valeriano Pozzi,West,,,,,
Jean-Baptiste Joseph Wicar,West,,,,,
Giovanni Battista Maderna,West,,,,,
Johann Wilhelm Heel,West,,,,,
Julie de Graag,West,,,,,
Gerard Hoet,West,,,,,
Hooft,West,,,,,
Jan Adriani,West,,,,,
Jan Snellinck (I),West,,,,,
Edward Pearce,West,,,,,
Daniel Mignot,West,,,,,
Giovanni Battista Costantini,West,,,,,
Johann Conrad Reuttimann,West,,,,,
Bartholomeus van Lochom,West,,,,,
Rodolff Schulte,West,,,,,
François Chauveau,West,,,,,
Nicolas Pierre Loir,West,,,,,
Pierre Lepautre,West,,,,,
de La Gardette,West,,,,,
Christian Engelbrecht,West,,,,,
Peter van der Borcht,West,,,,,
Rutger Kasemann,West,,,,,
rutger kaseman,West,,,,,
Polifilo Giancarli,West,,,,,
Enea Vico,West,,,,,
Moritz Bodenehr,West,,,,,
Pietro Cerini,West,,,,,
Mathieu Lauweriks,West,,,,,
Marius Bauer,West,,,,,
Pieter Dupont,West,,,,,
Jac van Looij,West,,,,,
Eduard Karsen,West,,,,,
Martin Monnickendam,West,,,,,
Monogrammist CG (16e eeuw),West,,,,,
Monogrammist GGW,West,,,,,
Charles Williams,West,,,,,
Dirk Sluyter,West,,,,,
Bureau der Nederlandsche Staats-Courant,West,,,,,
Neele,West,,,,,
Friedrich Christoph Dietrich,West,,,,,
Paulus Lauters,West,,,,,
Frederick Bromley,West,,,,,
François de Bas,West,,,,,
Jan Frederik Christiaan Reckleben,West,,,,,
Gerhardus Fredericus Eilbracht,West,,,,,
Jan Spaan,West,,,,,
Pieter van Call (II),West,,,,,
Peter Casteels (III),West,,,,,
Joris Hoefnagel,West,,,,,
Johann Balthasar Probst,West,,,,,
George Bickham (Jr.),West,,,,,
Chicago Ferrotype Co.,West,,,,,
S.A. Schotel,West,,,,,
H. Gérard,West,,,,,
Cornelis Schut (I),West,,,,,
V. Lignian,West,,,,,
Christoph Wilhelm Bock,West,,,,,
Philippe Joseph Tassaert,West,,,,,
Pieter Hendrik Jonxis,West,,,,,
Jan Ruyter,West,,,,,
Paul Emile Placet,West,,,,,
Willem Holtrop,West,,,,,
Hendrik Roosing,West,,,,,
Charles Aubry,West,,,,,
Francis Barlow,West,,,,,
Franz Gabriel Fiesinger,West,,,,,
Charles Nègre,West,,,,,
Anthoni de Groot en Zoonen,West,,,,,
Antoine Opdebeeck,West,,,,,
Samuel Donnet,West,,,,,
Gerard Sibelius,West,,,,,
Erven de Weduwe Jacobus van Egmont,West,,,,,
Pietro Santi Bartoli,West,,,,,
Johannes Kannewet (II),West,,,,,
't Binnenhuis,West,,,,,
Elias van den Bossche,West,,,,,
Du Paquier,West,,,,,
Monogrammist DH (Duitsland),West,,,,,
Dihl et Guerhard,West,,,,,
Pierre Cartellier,West,,,,,
Perin Le Page,West,,,,,
Willem Bastiaan Tholen,West,,,,,
Sugimura Jihei,West,,,,,
August Le Gras,West,,,,,
William Unger,West,,,,,
François Grenier,West,,,,,
Johann Heinrich Maria Hubert Rennefeld,West,,,,,
Edgar Alfred Baes,West,,,,,
Richard Henkel,West,,,,,
Ph. van Leeuwen,West,,,,,
A. Kroon,West,,,,,
L. van Peteghem,West,,,,,
"& Stewart, G. Waterston Sons",West,,,,,
Pieter Willem Marinus Trap,West,,,,,
Johann Beheim,West,,,,,
Alexis Loir (I),West,,,,,
Hendrik Bary,West,,,,,
Pieter Hendrik Trap,West,,,,,
Theodor Brüggemann,West,,,,,
Abdullah Frères,West,,,,,
J.F. Cazenave,West,,,,,
Johannes Bouwer,West,,,,,
Jean de Poligny,West,,,,,
René Boyvin,West,,,,,
Charles Bernhoeft,West,,,,,
Johannes Everhardus Rijnboutt,West,,,,,
Pieter Rijsbraeck,West,,,,,
Negoro Raizan,West,,,,,
Jacob Pieter van den Bosch,West,,,,,
Giovanni Jacopo Caraglio,West,,,,,
Jan Hendrik de Lange,West,,,,,
Jan Goedeljee,West,,,,,
van der Haeghen,West,,,,,
Bernard Verschoot,West,,,,,
Joseph Constantine Stadler,West,,,,,
J. Bluck,West,,,,,
Pierre Gosse (jr.),West,,,,,
Jean Perrissin,West,,,,,
J.W. Heel,West,,,,,
Roelof Helweg,West,,,,,
Stephanus de Groot,West,,,,,
Bernardus Gerardus ten Berge,West,,,,,
Pieter van Looy,West,,,,,
Albertus Anthonius Nunnink,West,,,,,
Samuel Lankhout & Co,West,,,,,
P.J. Fassbender,West,,,,,
D. Braam,West,,,,,
Abraham Jacobus Wendel,West,,,,,
Walker & Cockerell,West,,,,,
J.P.M.,West,,,,,
Emrik & Binger,West,,,,,
Prosper Cuypers van Veldhoven,West,,,,,
Carel Christiaan Antony Last,West,,,,,
Sebastiaan Theodorus Voorn Boers,West,,,,,
frères Moreau,West,,,,,
Johan Michaël Schmidt Crans,West,,,,,
Johan Noman & Zoon,West,,,,,
Augusta Curiel,West,,,,,
Johann Heinrich Schönscheidt,West,,,,,
Cornelis Kimmel,West,,,,,
Johannes Groenewoud Jansz,West,,,,,
Leonard de Koningh,West,,,,,
C Karsen K & Hamburger,West,,,,,
J.H. v.d. Heijden,West,,,,,
G. Lekegian & Co,West,,,,,
G. Lekegian,West,,,,,
Henry Frères,West,,,,,
H.F. Jansen,West,,,,,
Laborde,West,,,,,
A.J. Kropholler,West,,,,,
Abraham Scheurleer,West,,,,,
Johan Philip Mathias Menger,West,,,,,
Noach van der Waals,West,,,,,
Frères Dewalle,West,,,,,
Peter Knecht,West,,,,,
S. de Jager,West,,,,,
Benjamin Wright,West,,,,,
Dirk de Goede de Koning,West,,,,,
Frantz,West,,,,,
Ernest Appert,West,,,,,
Suzuki Haronobu,West,,,,,
Yves Marie Le Gouaz,West,,,,,
weduwe Slegers,West,,,,,
Abraham Groenendijk,West,,,,,
Nicolaas Sonnenberg,West,,,,,
Pierre Jean Baptiste Charles van der Aa,West,,,,,
August Christian Hauck,West,,,,,
Egbert Rubertus Derk Schaap,West,,,,,
Johannes Hilverdink,West,,,,,
Marinus Adrianus Koekkoek (I),West,,,,,
Park Galleries,West,,,,,
Wendell Decker,West,,,,,
Richard van Orley (II),West,,,,,
Cornelis van Hoogeveen Junior,West,,,,,
Jan van Ossenbeeck,West,,,,,
Arend Fokke Simonsz,West,,,,,
Carl August Lebschee,West,,,,,
Etienne Dupérac,West,,,,,
Johann Philip Veith,West,,,,,
Coenraet Waumans,West,,,,,
Jacques Briot,West,,,,,
Nicolas-Gabriel Dupuis,West,,,,,
Charles Nicolas Cochin (II),West,,,,,
Johann Georg Wille,West,,,,,
Jean Preim,West,,,,,
Carlo Lasinio,West,,,,,
Henry Hoppner Meyer,West,,,,,
Wilhelm Andreas Müller,West,,,,,
Arnold Colom,West,,,,,
J.C. Wendel,West,,,,,
Pauquet,West,,,,,
Georg Sturm,West,,,,,
Peter Vilhelm Ilsted,West,,,,,
J. Robyn,West,,,,,
erven weduwe Cornelis Stichter,West,,,,,
Léon Davent,West,,,,,
George Boba,West,,,,,
Gerrit Oortman,West,,,,,
Monogrammist DB (etser 16de eeuw),West,,,,,
Jan van Lee,West,,,,,
Jan Nieuwenhuyzen,West,,,,,
Angelo Falconetto,West,,,,,
Abraham Dircksz Santvoort,West,,,,,
frères Seeberger,West,,,,,
Anthony de Later,West,,,,,
Gigadô Ashiyuki,West,,,,,
Dorndorf,West,,,,,
Claude Fonteyne,West,,,,,
Meester W met de Sleutel,West,,,,,
Karel V van Habsburg (Duits keizer en koning van Spanje),West,,,,,
Christoffel Plantijn,West,,,,,
Anthony Stechwey,West,,,,,
Abram George Steelink,West,,,,,
Franciscus van der Steen,West,,,,,
Cornelis Steffelaar,West,,,,,
Jochem van Stegeren,West,,,,,
A. Hulk,West,,,,,
Giorgio Sommer,West,,,,,
Photoglob,West,,,,,
Schindelmayer,West,,,,,
Johann Adam Schweickart,West,,,,,
Eugen Klein,West,,,,,
L. Fines,West,,,,,
Willem Breebaart,West,,,,,
Abraham Ferwerda,West,,,,,
Paul Alletsee,West,,,,,
Gerard Wigmana,West,,,,,
Franz de Wilde,West,,,,,
Sidrach Willemsens,West,,,,,
Abraham Hendrik Winter,West,,,,,
Johannes Pieter van Wisselingh,West,,,,,
Pieter Stevens (vermeld in 1689),West,,,,,
Leo Paulus Johannes Stracké,West,,,,,
Barend Groote & Co.,West,,,,,
F.G.O. Stuart,West,,,,,
Charls & Van Es,West,,,,,
CN & Co.,West,,,,,
Samuel Herz,West,,,,,
A.S. Weinberg,West,,,,,
Barend Groote,West,,,,,
Jeremias van Schaak,West,,,,,
Dirk Eversen Lons,West,,,,,
Carel Nicolaas Storm van 's-Gravesande,West,,,,,
A. Roussel,West,,,,,
Franz Woditzka,West,,,,,
Poulton,West,,,,,
Louis Igout,West,,,,,
H. Ernst & Co,West,,,,,
Lambertus Suavius,West,,,,,
Arnoud Schaepkens,West,,,,,
MI,West,,,,,
Samuel William Reynolds (I),West,,,,,
Karel van Sichem,West,,,,,
Experiens Sillemans,West,,,,,
Adam Silo,West,,,,,
Diederik Jan Singendonck,West,,,,,
Gabriel Perelle,West,,,,,
François Collignon,West,,,,,
Richer,West,,,,,
Hendrick Symonsz. Duijndam,West,,,,,
John Gabriël Stedman,West,,,,,
Adamo Scultori,West,,,,,
Cesare Massimiliano Gini,West,,,,,
Chôkyôsai Eiri,West,,,,,
Torii Kiyonaga,West,,,,,
Jan van Rijmsdijck,West,,,,,
Adrianus Gerardus van Schoone,West,,,,,
Jan Oortman (Sr.),West,,,,,
A. Courtois,West,,,,,
Jan Jansz. van der Vinne,West,,,,,
Vincent Laurensz. van der Vinne (II),West,,,,,
Andries Schoemaker,West,,,,,
Frederik Nicolaas Horatius Witsen Geysbeek,West,,,,,
Johannes Janssonius,West,,,,,
Michiel Adriaansz. de Ruyter,West,,,,,
Louis de Châtillon,West,,,,,
Everardus Tijhoff,West,,,,,
Dirk Schuurman,West,,,,,
Otto Derk Gordon,West,,,,,
Joachim Martin Falbe,West,,,,,
Ouder-Amstel,West,,,,,
Nederlandsche Stereoscoop Maatschappij,West,,,,,
Weingartshofer,West,,,,,
Robert Dahllöf,West,,,,,
Kurkdjian & Eisenschiml und Wachtl,West,,,,,
M.H. Zahner,West,,,,,
Strohmeyer & Wyman,West,,,,,
C.H. Graves & Universal Photo Art Co.,West,,,,,
De Wereld-Toerist,West,,,,,
FPhG,West,,,,,
F & E,West,,,,,
"Aristophot A.G,",West,,,,,
Giovanni Battista Castello,West,,,,,
Theo van Hoytema,West,,,,,
P.D. van Rhijn,West,,,,,
Jacob Merkelbach,West,,,,,
Arnaud Pistoor & Zoon,West,,,,,
M. Schaep,West,,,,,
Johan Antonie de Jonge,West,,,,,
Guillaume Philidor Van den Burggraaff,West,,,,,
Henri de Louw,West,,,,,
Willem van Konijnenburg,West,,,,,
jonkheer Barthold Willem Floris van Riemsdijk,West,,,,,
Associated Press,West,,,,,
V. Sabel'skij,West,,,,,
Willem Frederik Vinkenbos,West,,,,,
Frits Freerks Fontein Fz.,West,,,,,
G. Hidderley,West,,,,,
Neville Keasberry,West,,,,,
Adolphe Théodore Jules Martial Potemont,West,,,,,
Willem van der Nat,West,,,,,
P. Klier,West,,,,,
Theodor Paar,West,,,,,
A.G.A. van Eelde,West,,,,,
Adolphe Burdet,West,,,,,
M. Petagna,West,,,,,
Charles De Trez,West,,,,,
E. ten Cate,West,,,,,
Jan Dasveldt,West,,,,,
Marcellin Gilbert Desboutin,West,,,,,
Samuel Palmer,West,,,,,
Gérard Audran,West,,,,,
Francesco Bartolozzi,West,,,,,
Shibata Zeshin,West,,,,,
Julius Muller,West,,,,,
Gomez Burke,West,,,,,
Monogrammist JBM,West,,,,,
Monogrammist R (graveur),West,,,,,
J.M. Bredée,West,,,,,
weduwe C. Kok-van Kolm,West,,,,,
